onset,type,stim
2000,picture,hum.png
5000,blank,
15000,picture,speech.png
19000,blank,
21000,text,signal
26000,text,invite
31000,picture,speech.png
35000,blank,
37000,text,tennis
42000,text,accent
47000,picture,hum.png
53000,blank,
63000,picture,speech.png
67000,blank,
69000,text,effort
74000,text,vision
79000,picture,hum.png
85000,blank,
95000,picture,hum.png
101000,blank,
111000,picture,speech.png
115000,blank,
117000,text,signal
122000,text,stress
127000,picture,hum.png
133000,blank,
143000,picture,speech.png
147000,blank,
149000,text,temple
154000,text,budget
159000,picture,speech.png
163000,blank,
165000,text,garage
170000,text,blonde
175000,picture,hum.png
181000,blank,
